order_id;product_id;unit_price;quantity;discount
1;11;14;12;0
1;42;9,8;10;0
1;72;34,8;5;0
2;14;18,6;9;0
2;51;42,4;40;0
3;41;7,7;10;0
3;51;42,4;35;0,15
3;65;16,8;15;0,15
4;22;16,8;6;0,05
4;57;15,6;15;0,05
4;65;16,8;20;0
5;20;64,8;40;0,05
5;33;2;25;0,05
5;60;27,2;40;0
6;31;10;20;0
6;39;14,4;42;0
6;49;16;40;0
7;24;3,6;15;0,15
7;55;19,2;21;0,15
7;74;8;21;0
8;2;15,2;20;0
8;16;13,9;35;0
8;36;15,2;25;0
8;59;44;30;0
9;53;26,2;15;0
9;77;10,4;12;0
10;27;35,1;25;0
10;39;14,4;6;0
10;77;10,4;15;0
11;2;15,2;50;0,2
11;5;17;65;0,2
11;32;25,6;6;0,2
12;21;8;10;0
12;37;20,8;1;0
13;41;7,7;16;0,25
13;57;15,6;50;0
13;62;39,4;15;0,25
13;70;12;21;0,25
14;21;8;20;0
14;35;14,4;20;0
15;5;17;12;0,2
15;7;24;15;0
15;56;30,4;2;0
16;16;13,9;60;0,25
16;24;3,6;28;0
16;30;20,7;60;0,25
16;74;8;36;0,25
17;2;15,2;35;0
17;41;7,7;25;0,15
18;17;31,2;30;0
18;70;12;20;0
19;12;30,4;12;0,05
20;40;14,7;50;0
20;59;44;70;0,15
20;76;14,4;15;0,15
21;29;99;10;0
21;72;27,8;4;0
22;33;2;60;0,05
22;72;27,8;20;0,05
23;36;15,2;30;0
23;43;36,8;25;0
24;33;2;24;0
25;20;64,8;6;0
25;31;10;40;0
25;72;27,8;24;0
26;10;24,8;24;0,05
26;31;10;15;0,05
26;33;2;20;0
26;40;14,7;60;0,05
26;76;14,4;33;0,05
27;71;17,2;20;0
27;72;27,8;7;0
28;24;3,6;12;0,05
28;59;44;6;0,05
29;10;24,8;15;0
29;13;4,8;10;0
30;28;36,4;20;0
30;62;39,4;12;0
31;44;15,5;16;0
31;59;44;15;0
31;63;35,1;8;0
31;73;12;25;0
32;17;31,2;15;0,25
33;24;3,6;12;0
33;55;19,2;20;0
33;75;6,2;30;0
34;19;7,3;1;0
34;24;3,6;6;0
34;35;14,4;4;0
35;30;20,7;6;0
35;57;15,6;2;0
36;15;12,4;20;0
36;19;7,3;18;0
36;60;27,2;35;0
36;72;27,8;3;0
37;27;35,1;15;0,25
37;44;15,5;21;0
37;60;27,2;20;0,25
37;67;11,2;5;0,25
38;1;14,4;45;0,2
38;40;14,7;40;0,2
38;53;26,2;36;0,2
39;35;14,4;100;0
39;62;39,4;40;0
40;16;13,9;40;0,15
40;34;11,2;20;0
40;46;9,6;15;0,15
41;54;5,9;10;0,1
41;68;10;3;0,1
42;3;8;30;0
42;64;26,6;9;0
43;5;17;20;0
43;29;99;15;0
43;49;16;15;0
43;77;10,4;10;0
44;13;4,8;20;0,1
44;44;15,5;24;0,1
44;51;42,4;2;0,1
45;20;64,8;20;0
46;18;50;12;0
46;24;3,6;10;0
46;63;35,1;5;0
46;75;6,2;6;0
47;1;14,4;18;0
47;17;31,2;15;0
47;43;36,8;15;0
47;60;27,2;21;0
47;75;6,2;6;0
48;56;30,4;4;0
49;11;16,8;12;0
49;16;13,9;30;0
49;69;28,8;15;0
50;39;14,4;60;0
50;72;27,8;20;0
51;2;15,2;40;0
51;36;15,2;40;0,25
51;59;44;30;0,25
51;62;39,4;15;0
52;19;7,3;15;0
52;70;12;20;0
53;66;13,6;30;0
53;68;10;20;0
54;40;14,7;10;0
54;56;30,4;20;0
55;17;31,2;40;0
55;28;36,4;28;0
55;43;36,8;12;0
56;40;14,7;40;0,1
56;65;16,8;30;0,1
56;68;10;15;0,1
57;49;16;30;0
57;59;44;10;0
57;71;17,2;2;0
58;18;50;25;0,1
58;29;99;25;0,1
58;39;14,4;30;0,1
59;30;20,7;10;0
59;53;26,2;10;0
59;54;5,9;5;0
60;62;39,4;10;0
60;68;10;3;0
61;69;28,8;1;0
61;70;12;5;0
62;4;17,6;20;0
62;6;20;30;0
62;42;11,2;2;0
62;43;36,8;20;0
62;71;17,2;3;0
63;16;13,9;10;0
